unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.67858E+12,3/12/2023 1:00,BTC/USD,20528,20547,20463,20471,396456.6027,19.36674333
1.67858E+12,3/12/2023 0:00,BTC/USD,20530,20562,20421,20525,1119544.68,54.54541683
1.67858E+12,3/11/2023 23:00,BTC/USD,20407,20591,20405,20529,1190874.705,58.00938698
1.67857E+12,3/11/2023 22:00,BTC/USD,20422,20522,20389,20406,1612387.228,79.0153498
1.67857E+12,3/11/2023 21:00,BTC/USD,20417,20434,20345,20422,1771552.241,86.74724516
1.67856E+12,3/11/2023 20:00,BTC/USD,20299,20520,20289,20417,3137252.197,153.6588234
1.67856E+12,3/11/2023 19:00,BTC/USD,20307,20339,20242,20301,10962499.66,539.9980127
1.67856E+12,3/11/2023 18:00,BTC/USD,20340,20400,20289,20307,19319150.87,951.3542557
1.67855E+12,3/11/2023 17:00,BTC/USD,20181,20391,20156,20342,4361190.363,214.3933911
1.67855E+12,3/11/2023 16:00,BTC/USD,20156,20204,20084,20176,5387299.134,267.0152227
1.67855E+12,3/11/2023 15:00,BTC/USD,20190,20225,20137,20157,1522070.26,75.51075359
1.67854E+12,3/11/2023 14:00,BTC/USD,20158,20290,20154,20191,1975980.388,97.86441424
1.67854E+12,3/11/2023 13:00,BTC/USD,20107,20217,20107,20161,964755.8003,47.85257677
1.67854E+12,3/11/2023 12:00,BTC/USD,20144,20197,20103,20108,1280643.817,63.68827419
1.67853E+12,3/11/2023 11:00,BTC/USD,20106,20158,20028,20145,7724870.413,383.4634109
1.67853E+12,3/11/2023 10:00,BTC/USD,20178,20238,20084,20106,1525002.996,75.84815457
1.67853E+12,3/11/2023 9:00,BTC/USD,20150,20213,20041,20181,3443376.456,170.6246696
1.67852E+12,3/11/2023 8:00,BTC/USD,19940,20272,19863,20145,6209188.525,308.2247965
1.67852E+12,3/11/2023 7:00,BTC/USD,20377,20411,19920,19950,3319006.852,166.3662583
1.67851E+12,3/11/2023 6:00,BTC/USD,20466,20477,20251,20374,3981635.093,195.4272648
